ds,y
2020-02-04,1
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,1
2020-02-28,8
2020-02-29,3
2020-03-01,0
2020-03-02,5
2020-03-03,13
2020-03-04,30
2020-03-05,25
2020-03-06,59
2020-03-07,33
2020-03-08,46
2020-03-09,101
2020-03-10,98
2020-03-11,196
2020-03-12,151
2020-03-13,152
2020-03-14,71
2020-03-15,69
2020-03-16,83
2020-03-17,119
2020-03-18,145
2020-03-19,143
2020-03-20,180
2020-03-21,136
2020-03-22,118
2020-03-23,182
2020-03-24,230
2020-03-25,314
2020-03-26,286
2020-03-27,365
2020-03-28,300
2020-03-29,280
2020-03-30,416
2020-03-31,474
2020-04-01,486
2020-04-02,554
2020-04-03,602
2020-04-04,357
2020-04-05,340
2020-04-06,389
2020-04-07,739
2020-04-08,654
2020-04-09,645
2020-04-10,454
2020-04-11,395
2020-04-12,464
2020-04-13,437
2020-04-14,479
2020-04-15,604
2020-04-16,623
2020-04-17,689
2020-04-18,532
2020-04-19,388
2020-04-20,461
2020-04-21,707
2020-04-22,723
2020-04-23,758
2020-04-24,781
2020-04-25,473
2020-04-26,300
2020-04-27,563
2020-04-28,742
2020-04-29,799
2020-04-30,636
2020-05-01,532
2020-05-02,299
2020-05-03,261
2020-05-04,477
2020-05-05,657
2020-05-06,745
2020-05-07,785
2020-05-08,701
2020-05-09,509
2020-05-10,279
2020-05-11,455
2020-05-12,754
2020-05-13,698
2020-05-14,657
2020-05-15,688
2020-05-16,358
2020-05-17,259
2020-05-18,430
2020-05-19,666
2020-05-20,808
2020-05-21,610
2020-05-22,532
2020-05-23,403
2020-05-24,210
2020-05-25,490
2020-05-26,746
2020-05-27,800
2020-05-28,774
2020-05-29,773
2020-05-30,432
2020-05-31,265
2020-06-01,648
2020-06-02,900
2020-06-03,1046
2020-06-04,1039
2020-06-05,1146
2020-06-06,780
2020-06-07,462
2020-06-08,677
2020-06-09,937
2020-06-10,1437
2020-06-11,1293
2020-06-12,1329
2020-06-13,1032
2020-06-14,418
2020-06-15,685
2020-06-16,1209
2020-06-17,1457
2020-06-18,1494
2020-06-19,1209
2020-06-20,698
2020-06-21,321
2020-06-22,800
2020-06-23,1309
2020-06-24,1696
2020-06-25,1276
2020-06-26,1204
2020-06-27,755
2020-06-28,415
2020-06-29,726
2020-06-30,808
2020-07-01,685
2020-07-02,687
2020-07-03,694
2020-07-04,364
2020-07-05,315
2020-07-06,251
2020-07-07,278
2020-07-08,533
2020-07-09,334
2020-07-10,369
2020-07-11,308
2020-07-12,106
2020-07-13,170
2020-07-14,312
2020-07-15,287
2020-07-16,268
2020-07-17,284
2020-07-18,191
2020-07-19,110
2020-07-20,131
2020-07-21,226
2020-07-22,297
2020-07-23,220
2020-07-24,262
2020-07-25,138
2020-07-26,42
2020-07-27,71
2020-07-28,283
2020-07-29,301
2020-07-30,302
2020-07-31,258
2020-08-01,303
2020-08-02,38
2020-08-03,165
2020-08-04,333
2020-08-05,425
2020-08-06,378
2020-08-07,380
2020-08-08,260
2020-08-09,73
2020-08-10,196
2020-08-11,417
2020-08-12,443
2020-08-13,363
2020-08-14,344
2020-08-15,226
2020-08-16,63
2020-08-17,174
2020-08-18,314
2020-08-19,351
2020-08-20,333
2020-08-21,298
2020-08-22,160
2020-08-23,57
2020-08-24,174
2020-08-25,222
2020-08-26,244
2020-08-27,202
2020-08-28,179
2020-08-29,131
2020-08-30,48
2020-08-31,162
2020-09-01,171
2020-09-02,213
2020-09-03,286
2020-09-04,262
2020-09-05,171
2020-09-06,67
2020-09-07,185
2020-09-08,236
2020-09-09,314
2020-09-10,254
2020-09-11,291
2020-09-12,206
2020-09-13,106
2020-09-14,220
2020-09-15,292
2020-09-16,330
2020-09-17,389
2020-09-18,437
2020-09-19,279
2020-09-20,133
2020-09-21,266
2020-09-22,438
2020-09-23,553
2020-09-24,540
2020-09-25,630
2020-09-26,325
2020-09-27,167
2020-09-28,378
2020-09-29,613
2020-09-30,689
2020-10-01,633
2020-10-02,712
2020-10-03,461
2020-10-04,156
2020-10-05,374
2020-10-06,786
2020-10-07,831
2020-10-08,834
2020-10-09,783
2020-10-10,509
2020-10-11,161
2020-10-12,637
2020-10-13,916
2020-10-14,968
2020-10-15,902
2020-10-16,1179
2020-10-17,697
2020-10-18,321
2020-10-19,771
2020-10-20,1289
2020-10-21,1571
2020-10-22,1666
2020-10-23,1867
2020-10-24,1477
2020-10-25,514
2020-10-26,1069
2020-10-27,2414
2020-10-28,3389
2020-10-29,3262
2020-10-30,4056
2020-10-31,2987
2020-11-01,1297
2020-11-02,1569
2020-11-03,3608
2020-11-04,4482
2020-11-05,4744
2020-11-06,4454
2020-11-07,4451
2020-11-08,2097
2020-11-09,3725
2020-11-10,4497
2020-11-11,5709
2020-11-12,5564
2020-11-13,6730
2020-11-14,3513
2020-11-15,1581
2020-11-16,2544
2020-11-17,4458
2020-11-18,4961
2020-11-19,7609
2020-11-20,5458
2020-11-21,4492
2020-11-22,2422
2020-11-23,3877
2020-11-24,5674
2020-11-25,6066
2020-11-26,6903
2020-11-27,6462
2020-11-28,3825
2020-11-29,2753
2020-11-30,3480
2020-12-01,5819
2020-12-02,6547
2020-12-03,6986
2020-12-04,7338
2020-12-05,4864
2020-12-06,1803
2020-12-07,3782
2020-12-08,7446
2020-12-09,8398
2020-12-10,6693
2020-12-11,7717
2020-12-12,6538
2020-12-13,3057
2020-12-14,3534
2020-12-15,7001
2020-12-16,8824
2020-12-17,9640
2020-12-18,7917
2020-12-19,5509
2020-12-20,3752
2020-12-21,5160
2020-12-22,6595
2020-12-23,11376
2020-12-24,5036
2020-12-25,2793
2020-12-26,2966
2020-12-27,3208
2020-12-28,7091
2020-12-29,8872
2020-12-30,10459
2020-12-31,6999
2021-01-01,2618
2021-01-02,2530
2021-01-03,2754
2021-01-04,6982
2021-01-05,7546
2021-01-06,5028
2021-01-07,7148
2021-01-08,5691
2021-01-09,4735
2021-01-10,2317
2021-01-11,4648
2021-01-12,5334
2021-01-13,6595
2021-01-14,4743
2021-01-15,4205
2021-01-16,2160
2021-01-17,1250
2021-01-18,2111
2021-01-19,4732
2021-01-20,4946
2021-01-21,4196
2021-01-22,3722
2021-01-23,2368
2021-01-24,1147
2021-01-25,1884
2021-01-26,4186
2021-01-27,4105
2021-01-28,2368
2021-01-29,4252
2021-01-30,2695
2021-01-31,1164
2021-02-01,1551
2021-02-02,4315
2021-02-03,3737
2021-02-04,3396
2021-02-05,3260
2021-02-06,2332
2021-02-07,1013
2021-02-08,1505
2021-02-09,4069
2021-02-10,4353
2021-02-11,3804
2021-02-12,3569
2021-02-13,2771
2021-02-14,1211
2021-02-15,1901
2021-02-16,4205
2021-02-17,4965
2021-02-18,4134
2021-02-19,4028
2021-02-20,2781
2021-02-21,1599
2021-02-22,2539
2021-02-23,5404
2021-02-24,4977
2021-02-25,4830
2021-02-26,4583
2021-02-27,3107
2021-02-28,1242
2021-03-01,2826
2021-03-02,6189
2021-03-03,4869
2021-03-04,4883
2021-03-05,4069
2021-03-06,3452
2021-03-07,1451
2021-03-08,1982
2021-03-09,5928
2021-03-10,5326
2021-03-11,5332
2021-03-12,4994
2021-03-13,3953
2021-03-14,1040
2021-03-15,2714
2021-03-16,6786
2021-03-17,6431
2021-03-18,5736
2021-03-19,5406
2021-03-20,4380
2021-03-21,1579
2021-03-22,2687
2021-03-23,7652
2021-03-24,7706
2021-03-25,6365
2021-03-26,6294
2021-03-27,5196
2021-03-28,1980
2021-03-29,2962
2021-03-30,8468
2021-03-31,8290
2021-04-01,6976
2021-04-02,6836
2021-04-03,3403
2021-04-04,1449
2021-04-05,3103
2021-04-06,6813
2021-04-07,7824
2021-04-08,7760
2021-04-09,7626
2021-04-10,5626
2021-04-11,2390
2021-04-12,3471
2021-04-13,8870
2021-04-14,7093
2021-04-15,7665
2021-04-16,6440
2021-04-17,4983
2021-04-18,2514
2021-04-19,2713
2021-04-20,7538
2021-04-21,7706
2021-04-22,6248
2021-04-23,5501
2021-04-24,4568
2021-04-25,1756
2021-04-26,3069
2021-04-27,7267
2021-04-28,7144
2021-04-29,5931
2021-04-30,5424
2021-05-01,4753
2021-05-02,1718
2021-05-03,3068
2021-05-04,7035
2021-05-05,6482
2021-05-06,5716
2021-05-07,5244
2021-05-08,4476
2021-05-09,1657
2021-05-10,2460
2021-05-11,6311
2021-05-12,5269
2021-05-13,3918
2021-05-14,2579
2021-05-15,3969
2021-05-16,1408
2021-05-17,2106
2021-05-18,4642
2021-05-19,3410
2021-05-20,3166
2021-05-21,2317
2021-05-22,1909
2021-05-23,620
2021-05-24,1195
2021-05-25,2739
2021-05-26,1418
2021-05-27,92
2021-05-28,297
2021-05-29,285
2021-05-30,1948
2021-05-31,1898
2021-06-01,2783
2021-06-02,1364
2021-06-03,1080
2021-06-04,989
2021-06-05,758
2021-06-06,222
2021-06-07,490
2021-06-08,1183
2021-06-09,825
2021-06-10,729
2021-06-11,484
2021-06-12,524
2021-06-13,159
2021-06-14,0
2021-06-15,1
2021-06-16,36
2021-06-17,2190
2021-06-18,601
2021-06-19,19
2021-06-20,1
2021-06-21,678
2021-06-22,506
2021-06-23,379
2021-06-24,373
2021-06-25,31
2021-06-26,8
2021-06-27,8
2021-06-28,444
2021-06-29,251
2021-06-30,560
2021-07-01,284
2021-07-02,326
2021-07-03,3
2021-07-04,2
2021-07-05,415
2021-07-06,369
2021-07-07,258
2021-07-08,237
2021-07-09,228
2021-07-10,7
2021-07-11,0
2021-07-12,443
2021-07-13,370
2021-07-14,350
2021-07-15,366
2021-07-16,337
2021-07-17,11
2021-07-18,6
2021-07-19,628
2021-07-20,517
2021-07-21,582
2021-07-22,477
2021-07-23,444
2021-07-24,11
2021-07-25,2
2021-07-26,839
2021-07-27,654
2021-07-28,656
2021-07-29,621
2021-07-30,685
2021-07-31,4
2021-08-01,1
2021-08-02,1151
2021-08-03,960
2021-08-04,852
2021-08-05,819
2021-08-06,818
2021-08-07,6
2021-08-08,3
2021-08-09,1485
2021-08-10,1201
2021-08-11,1057
2021-08-12,1040
2021-08-13,1016
2021-08-14,8
2021-08-15,10
2021-08-16,1781
2021-08-17,1330
2021-08-18,1275
2021-08-19,1028
2021-08-20,1045
2021-08-21,1
2021-08-22,3
2021-08-23,1708
2021-08-24,1270
2021-08-25,1515
2021-08-26,1269
2021-08-27,915
2021-08-28,3
2021-08-29,5
2021-08-30,2354
2021-08-31,1022
2021-09-01,1103
2021-09-02,1425
2021-09-03,1323
2021-09-04,1
2021-09-05,10
2021-09-06,2179
2021-09-07,1399
2021-09-08,1395
2021-09-09,1479
2021-09-10,1515
2021-09-11,2
2021-09-12,0
2021-09-13,2137
2021-09-14,1114
2021-09-15,1184
2021-09-16,994
2021-09-17,829
2021-09-18,1
2021-09-19,0
2021-09-20,1178
2021-09-21,891
2021-09-22,743
2021-09-23,771
2021-09-24,715
2021-09-25,1
2021-09-26,6
2021-09-27,1068
2021-09-28,845
2021-09-29,852
2021-09-30,766
2021-10-01,698
2021-10-02,2
2021-10-03,0
2021-10-04,1192
2021-10-05,738
2021-10-06,842
2021-10-07,741
2021-10-08,599
2021-10-09,16
2021-10-10,9
2021-10-11,1121
2021-10-12,905
2021-10-13,796
2021-10-14,668
2021-10-15,565
2021-10-16,14
2021-10-17,0
2021-10-18,1078
2021-10-19,818
2021-10-20,786
2021-10-21,777
2021-10-22,891
2021-10-23,525
2021-10-24,319
2021-10-25,539
2021-10-26,1262
2021-10-27,891
2021-10-28,1079
2021-10-29,977
2021-10-30,861
2021-10-31,301
2021-11-01,629
2021-11-02,1162
2021-11-03,837
2021-11-04,826
2021-11-05,731
2021-11-06,597
2021-11-07,278
2021-11-08,502
2021-11-09,1321
2021-11-10,1020
2021-11-11,925
2021-11-12,911
2021-11-13,829
2021-11-14,311
2021-11-15,574
2021-11-16,1296
2021-11-17,1206
2021-11-18,1130
2021-11-19,1314
2021-11-20,1092
2021-11-21,482
2021-11-22,952
2021-11-23,2077
2021-11-24,2107
2021-11-25,2114
2021-11-26,2025
2021-11-27,1759
2021-11-28,880
2021-11-29,1347
2021-11-30,2657
2021-12-01,2424
2021-12-02,2208
2021-12-03,2154
2021-12-04,2084
2021-12-05,927
2021-12-06,2254
2021-12-07,3333
2021-12-08,3255
2021-12-09,3072
2021-12-10,2865
2021-12-11,2395
2021-12-12,1475
2021-12-13,2712
2021-12-14,4064
2021-12-15,4008
2021-12-16,4116
2021-12-17,4180
2021-12-18,3389
2021-12-19,2019
2021-12-20,3036
2021-12-21,4668
2021-12-22,5107
2021-12-23,5127
2021-12-24,5815
2021-12-25,2364
2021-12-26,1791
2021-12-27,6125
2021-12-28,9231
2021-12-29,10926
2021-12-30,11463
2021-12-31,10599
2022-01-01,5271
2022-01-02,5727
2022-01-03,9980
2022-01-04,17578
2022-01-05,24084
2022-01-06,17707
2022-01-07,19924
2022-01-08,19500
2022-01-09,16510
2022-01-10,15077
2022-01-11,22924
2022-01-12,26564
2022-01-13,26069
2022-01-14,26181
2022-01-15,25790
2022-01-16,22076
2022-01-17,24198
2022-01-18,39314
2022-01-19,40623
2022-01-20,43715
2022-01-21,39807
2022-01-22,37705
2022-01-23,30982
2022-01-24,33909
2022-01-25,46669
2022-01-26,41678
2022-01-27,53893
2022-01-28,39515
2022-01-29,34327
2022-01-30,15066
2022-01-31,24799
2022-02-01,40930
2022-02-02,35940
2022-02-03,28295
2022-02-04,25701
2022-02-05,19988
2022-02-06,10068
2022-02-07,9653
2022-02-08,19605
2022-02-09,15835
2022-02-10,7418
2022-02-11,5828
2022-02-12,2817
2022-02-13,1175
2022-02-14,2541
2022-02-15,4877
2022-02-16,4041
2022-02-17,4214
2022-02-18,3418
2022-02-19,1968
2022-02-20,1084
2022-02-21,2291
2022-02-22,3435
2022-02-23,3088
2022-02-24,3513
2022-02-25,2755
2022-02-26,1485
2022-02-27,1092
2022-02-28,1460
2022-03-01,3068
2022-03-02,2445
2022-03-03,2081
2022-03-04,1892
2022-03-05,1267
2022-03-06,327
2022-03-07,1428
2022-03-08,2215
2022-03-09,2090
