,ds,y
0,2022-03-09,2090
1,2022-03-08,2215
2,2022-03-07,1428
3,2022-03-06,327
4,2022-03-05,1267
5,2022-03-04,1892
6,2022-03-03,2081
7,2022-03-02,2445
8,2022-03-01,3068
9,2022-02-28,1460
10,2022-02-27,1092
11,2022-02-26,1485
12,2022-02-25,2755
13,2022-02-24,3513
14,2022-02-23,3088
15,2022-02-22,3435
16,2022-02-21,2291
17,2022-02-20,1084
18,2022-02-19,1968
19,2022-02-18,3418
20,2022-02-17,4214
21,2022-02-16,4041
22,2022-02-15,4877
23,2022-02-14,2541
24,2022-02-13,1175
25,2022-02-12,2817
26,2022-02-11,5828
27,2022-02-10,7418
28,2022-02-09,15835
29,2022-02-08,19605
30,2022-02-07,9653
31,2022-02-06,10068
32,2022-02-05,19988
33,2022-02-04,25701
34,2022-02-03,28295
35,2022-02-02,35940
36,2022-02-01,40930
37,2022-01-31,24799
38,2022-01-30,15066
39,2022-01-29,34327
40,2022-01-28,39515
41,2022-01-27,53893
42,2022-01-26,41678
43,2022-01-25,46669
44,2022-01-24,33909
45,2022-01-23,30982
46,2022-01-22,37705
47,2022-01-21,39807
48,2022-01-20,43715
49,2022-01-19,40623
50,2022-01-18,39314
51,2022-01-17,24198
52,2022-01-16,22076
53,2022-01-15,25790
54,2022-01-14,26181
55,2022-01-13,26069
56,2022-01-12,26564
57,2022-01-11,22924
58,2022-01-10,15077
59,2022-01-09,16510
60,2022-01-08,19500
61,2022-01-07,19924
62,2022-01-06,17707
63,2022-01-05,24084
64,2022-01-04,17578
65,2022-01-03,9980
66,2022-01-02,5727
67,2022-01-01,5271
68,2021-12-31,10599
69,2021-12-30,11463
70,2021-12-29,10926
71,2021-12-28,9231
72,2021-12-27,6125
73,2021-12-26,1791
74,2021-12-25,2364
75,2021-12-24,5815
76,2021-12-23,5127
77,2021-12-22,5107
78,2021-12-21,4668
79,2021-12-20,3036
80,2021-12-19,2019
81,2021-12-18,3389
82,2021-12-17,4180
83,2021-12-16,4116
84,2021-12-15,4008
85,2021-12-14,4064
86,2021-12-13,2712
87,2021-12-12,1475
88,2021-12-11,2395
89,2021-12-10,2865
90,2021-12-09,3072
91,2021-12-08,3255
92,2021-12-07,3333
93,2021-12-06,2254
94,2021-12-05,927
95,2021-12-04,2084
96,2021-12-03,2154
97,2021-12-02,2208
98,2021-12-01,2424
99,2021-11-30,2657
100,2021-11-29,1347
101,2021-11-28,880
102,2021-11-27,1759
103,2021-11-26,2025
104,2021-11-25,2114
105,2021-11-24,2107
106,2021-11-23,2077
107,2021-11-22,952
