ds,y
3/9/2022,2090
3/8/2022,2215
3/7/2022,1428
3/6/2022,327
3/5/2022,1267
3/4/2022,1892
3/3/2022,2081
3/2/2022,2445
3/1/2022,3068
2/28/2022,1460
2/27/2022,1092
2/26/2022,1485
2/25/2022,2755
2/24/2022,3513
2/23/2022,3088
2/22/2022,3435
2/21/2022,2291
2/20/2022,1084
2/19/2022,1968
2/18/2022,3418
2/17/2022,4214
2/16/2022,4041
2/15/2022,4877
2/14/2022,2541
2/13/2022,1175
2/12/2022,2817
2/11/2022,5828
2/10/2022,7418
2/9/2022,15835
2/8/2022,19605
2/7/2022,9653
2/6/2022,10068
2/5/2022,19988
2/4/2022,25701
2/3/2022,28295
2/2/2022,35940
2/1/2022,40930
1/31/2022,24799
1/30/2022,15066
1/29/2022,34327
1/28/2022,39515
1/27/2022,53893
1/26/2022,41678
1/25/2022,46669
1/24/2022,33909
1/23/2022,30982
1/22/2022,37705
1/21/2022,39807
1/20/2022,43715
1/19/2022,40623
1/18/2022,39314
1/17/2022,24198
1/16/2022,22076
1/15/2022,25790
1/14/2022,26181
1/13/2022,26069
1/12/2022,26564
1/11/2022,22924
1/10/2022,15077
1/9/2022,16510
1/8/2022,19500
1/7/2022,19924
1/6/2022,17707
1/5/2022,24084
1/4/2022,17578
1/3/2022,9980
1/2/2022,5727
1/1/2022,5271
12/31/2021,10599
12/30/2021,11463
12/29/2021,10926
12/28/2021,9231
12/27/2021,6125
12/26/2021,1791
12/25/2021,2364
12/24/2021,5815
12/23/2021,5127
12/22/2021,5107
12/21/2021,4668
12/20/2021,3036
12/19/2021,2019
12/18/2021,3389
12/17/2021,4180
12/16/2021,4116
12/15/2021,4008
12/14/2021,4064
12/13/2021,2712
12/12/2021,1475
12/11/2021,2395
12/10/2021,2865
12/9/2021,3072
12/8/2021,3255
12/7/2021,3333
12/6/2021,2254
12/5/2021,927
12/4/2021,2084
12/3/2021,2154
12/2/2021,2208
12/1/2021,2424
11/30/2021,2657
11/29/2021,1347
11/28/2021,880
11/27/2021,1759
11/26/2021,2025
11/25/2021,2114
