date,cases,deaths
9/3/2022,2090,0
8/3/2022,2215,3
7/3/2022,1428,5
6/3/2022,327,14
5/3/2022,1267,11
4/3/2022,1892,19
3/3/2022,2081,25
2/3/2022,2445,28
1/3/2022,3068,25
28/02/2022,1460,39
27/02/2022,1092,29
26/02/2022,1485,45
25/02/2022,2755,43
24/02/2022,3513,42
23/02/2022,3088,36
22/02/2022,3435,46
21/02/2022,2291,51
20/02/2022,1084,37
19/02/2022,1968,46
18/02/2022,3418,46
17/02/2022,4214,58
16/02/2022,4041,54
15/02/2022,4877,51
14/02/2022,2541,65
13/02/2022,1175,48
12/2/2022,2817,32
11/2/2022,5828,48
10/2/2022,7418,45
9/2/2022,15835,38
8/2/2022,19605,57
7/2/2022,9653,58
6/2/2022,10068,50
5/2/2022,19988,56
4/2/2022,25701,51
3/2/2022,28295,60
2/2/2022,35940,46
1/2/2022,40930,53
31/01/2022,24799,41
30/01/2022,15066,42
29/01/2022,34327,45
28/01/2022,39515,50
27/01/2022,53893,33
26/01/2022,41678,50
25/01/2022,46669,39
24/01/2022,33909,40
23/01/2022,30982,35
22/01/2022,37705,34
21/01/2022,39807,42
20/01/2022,43715,31
19/01/2022,40623,33
18/01/2022,39314,32
17/01/2022,24198,35
16/01/2022,22076,36
15/01/2022,25790,23
14/01/2022,26181,29
13/01/2022,26069,20
12/1/2022,26564,21
11/1/2022,22924,30
10/1/2022,15077,11
9/1/2022,16510,17
8/1/2022,19500,22
7/1/2022,19924,17
6/1/2022,17707,20
5/1/2022,24084,17
4/1/2022,17578,18
3/1/2022,9980,20
2/1/2022,5727,12
1/1/2022,5271,11
31/12/2021,10599,8
30/12/2021,11463,10
29/12/2021,10926,7
28/12/2021,9231,11
27/12/2021,6125,11
26/12/2021,1791,4
25/12/2021,2364,8
24/12/2021,5815,8
23/12/2021,5127,7
22/12/2021,5107,4
21/12/2021,4668,6
20/12/2021,3036,7
19/12/2021,2019,6
18/12/2021,3389,12
17/12/2021,4180,7
16/12/2021,4116,10
15/12/2021,4008,5
14/12/2021,4064,3
13/12/2021,2712,6
12/12/2021,1475,3
11/12/2021,2395,8
10/12/2021,2865,3
9/12/2021,3072,6
8/12/2021,3255,5
7/12/2021,3333,8
6/12/2021,2254,5
5/12/2021,927,6
4/12/2021,2084,4
3/12/2021,2154,2
2/12/2021,2208,4
1/12/2021,2424,2
30/11/2021,2657,5
29/11/2021,1347,6
28/11/2021,880,2
27/11/2021,1759,2
26/11/2021,2025,2
25/11/2021,2114,0
24/11/2021,2107,2
23/11/2021,2077,4
22/11/2021,952,3
21/11/2021,482,3
20/11/2021,1092,2
19/11/2021,1314,6
18/11/2021,1130,4
17/11/2021,1206,4
16/11/2021,1296,5
15/11/2021,574,6
14/11/2021,311,3
13/11/2021,829,2
12/11/2021,911,6
11/11/2021,925,8
10/11/2021,1020,2
9/11/2021,1321,8
8/11/2021,502,2
7/11/2021,278,3
6/11/2021,597,7
5/11/2021,731,4
4/11/2021,826,2
3/11/2021,837,10
2/11/2021,1162,5
1/11/2021,629,2
31/10/2021,301,4
30/10/2021,861,2
29/10/2021,977,4
28/10/2021,1079,6
27/10/2021,891,4
26/10/2021,1262,4
25/10/2021,539,6
24/10/2021,319,1
23/10/2021,525,3
22/10/2021,891,3
21/10/2021,777,4
20/10/2021,786,3
19/10/2021,818,3
18/10/2021,1078,6
17/10/2021,0,5
16/10/2021,14,6
15/10/2021,565,1
14/10/2021,668,4
13/10/2021,796,7
12/10/2021,905,4
11/10/2021,1121,5
10/10/2021,9,5
9/10/2021,16,6
8/10/2021,599,8
7/10/2021,741,8
6/10/2021,842,11
5/10/2021,738,6
4/10/2021,1192,5
3/10/2021,0,9
2/10/2021,2,6
1/10/2021,698,5
30/09/2021,766,5
29/09/2021,852,7
28/09/2021,845,4
27/09/2021,1068,3
26/09/2021,6,6
25/09/2021,1,4
24/09/2021,715,6
23/09/2021,771,6
22/09/2021,743,10
21/09/2021,891,7
20/09/2021,1178,4
19/09/2021,0,6
18/09/2021,1,3
17/09/2021,829,7
16/09/2021,994,12
15/09/2021,1184,8
14/09/2021,1114,7
13/09/2021,2137,8
12/9/2021,0,8
11/9/2021,2,4
10/9/2021,1515,11
9/9/2021,1479,8
8/9/2021,1395,10
7/9/2021,1399,4
6/9/2021,2179,4
5/9/2021,10,6
4/9/2021,1,3
3/9/2021,1323,3
2/9/2021,1425,6
1/9/2021,1103,2
31/08/2021,1022,2
30/08/2021,2354,3
29/08/2021,5,5
28/08/2021,3,1
27/08/2021,915,0
26/08/2021,1269,1
25/08/2021,1515,3
24/08/2021,1270,5
23/08/2021,1708,5
22/08/2021,3,2
21/08/2021,1,1
20/08/2021,1045,2
19/08/2021,1028,2
18/08/2021,1275,1
17/08/2021,1330,3
16/08/2021,1781,0
15/08/2021,10,1
14/08/2021,8,1
13/08/2021,1016,2
12/8/2021,1040,1
11/8/2021,1057,0
10/8/2021,1201,1
9/8/2021,1485,0
8/8/2021,3,2
7/8/2021,6,0
6/8/2021,818,3
5/8/2021,819,2
4/8/2021,852,0
3/8/2021,960,0
2/8/2021,1151,0
1/8/2021,1,0
31/07/2021,4,0
30/07/2021,685,1
29/07/2021,621,2
28/07/2021,656,1
27/07/2021,654,0
26/07/2021,839,0
25/07/2021,2,0
24/07/2021,11,0
23/07/2021,444,1
22/07/2021,477,1
21/07/2021,582,1
20/07/2021,517,0
19/07/2021,628,0
18/07/2021,6,0
17/07/2021,11,1
16/07/2021,337,0
15/07/2021,366,1
14/07/2021,350,0
13/07/2021,370,0
12/7/2021,443,0
11/7/2021,0,1
10/7/2021,7,0
9/7/2021,228,0
8/7/2021,237,0
7/7/2021,258,0
6/7/2021,369,2
5/7/2021,415,0
4/7/2021,2,0
3/7/2021,3,2
